4,-2.237412,-0.718310,-3.453476,-2.248432,-0.608506,-3.452387,-2.269500,-0.611681,-3.477617,-2.274177,-0.700823,-3.493332
4,-2.252834,-0.677322,-3.594398,-2.210310,-0.680913,-3.595814,-2.216030,-0.718466,-3.550312,-2.311637,-0.694561,-3.544999
4,-2.242418,-0.670780,-3.603985,-2.318035,-0.619374,-3.534322,-2.279916,-0.591189,-3.569450,-2.252369,-0.593882,-3.594838
4,-2.279916,-0.591189,-3.569450,-2.217004,-0.563472,-3.546731,-2.236273,-0.595460,-3.609674,-2.252369,-0.593882,-3.594838
4,-2.142722,-0.670564,-3.617367,-2.075465,-0.675693,-3.620874,-2.075843,-0.725969,-3.567215,-2.160196,-0.740642,-3.534871
4,-2.161187,-0.539198,-3.525363,-2.089267,-0.543412,-3.574873,-2.073513,-0.557273,-3.614725,-2.145684,-0.574165,-3.612392
4,-2.252834,-0.677322,-3.594398,-2.311637,-0.694561,-3.544999,-2.318035,-0.619374,-3.534322,-2.242418,-0.670780,-3.603985
4,-2.210310,-0.680913,-3.595814,-2.142722,-0.670564,-3.617367,-2.160196,-0.740642,-3.534871,-2.216030,-0.718466,-3.550312
4,-2.217004,-0.563472,-3.546731,-2.161187,-0.539198,-3.525363,-2.145684,-0.574165,-3.612392,-2.236273,-0.595460,-3.609674
4,-2.210310,-0.680913,-3.595814,-2.232824,-0.664745,-3.612827,-2.145596,-0.671366,-3.617152,-2.142722,-0.670564,-3.617367
4,-2.193736,-0.600026,-3.387789,-2.179215,-0.618989,-3.383096,-2.179820,-0.599782,-3.381819,-2.203594,-0.602767,-3.391904
4,-2.157561,-0.745582,-3.384501,-2.128280,-0.743623,-3.371442,-2.137220,-0.706655,-3.372259,-2.170868,-0.706655,-3.386683
4,-2.157561,-0.745582,-3.384501,-2.075669,-0.754984,-3.417946,-2.081986,-0.745509,-3.351752,-2.128280,-0.743623,-3.371442
4,-2.081986,-0.745509,-3.351752,-2.075756,-0.706659,-3.345868,-2.137220,-0.706655,-3.372259,-2.128280,-0.743623,-3.371442
4,-2.146373,-0.599167,-3.367520,-2.084186,-0.598037,-3.340909,-2.078896,-0.552608,-3.419982,-2.144126,-0.569639,-3.416188
4,-2.075756,-0.639362,-3.340494,-2.084186,-0.598037,-3.340909,-2.146373,-0.599167,-3.367520,-2.148740,-0.640600,-3.371784
4,-2.157561,-0.745582,-3.384501,-2.170868,-0.706655,-3.386683,-2.185174,-0.741303,-3.395641,-2.190099,-0.739298,-3.397589
4,-2.193736,-0.600026,-3.387789,-2.174941,-0.663852,-3.384938,-2.148740,-0.640600,-3.371784,-2.179215,-0.618989,-3.383096
4,-2.179820,-0.599782,-3.381819,-2.146373,-0.599167,-3.367520,-2.144126,-0.569639,-3.416188,-2.203594,-0.602767,-3.391904
4,-2.148740,-0.640600,-3.371784,-2.146373,-0.599167,-3.367520,-2.179820,-0.599782,-3.381819,-2.179215,-0.618989,-3.383096
4,-2.170868,-0.706655,-3.386683,-2.137220,-0.706655,-3.372259,-2.148740,-0.640600,-3.371784,-2.174941,-0.663852,-3.384938
4,-2.075756,-0.706659,-3.345868,-2.075756,-0.639362,-3.340494,-2.148740,-0.640600,-3.371784,-2.137220,-0.706655,-3.372259
